#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 agle_v2_10m.bin|  8.82e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
# The file file_input_raw was rewound 1 times
   diehard_birthdays|   0|       100|     100|0.47644572|  PASSED  
# The file file_input_raw was rewound 10 times
      diehard_operm5|   0|   1000000|     100|0.20769693|  PASSED  
# The file file_input_raw was rewound 23 times
  diehard_rank_32x32|   0|     40000|     100|0.24791074|  PASSED  
# The file file_input_raw was rewound 28 times
    diehard_rank_6x8|   0|    100000|     100|0.11193957|  PASSED  
# The file file_input_raw was rewound 31 times
   diehard_bitstream|   0|   2097152|     100|0.15136430|  PASSED  
# The file file_input_raw was rewound 51 times
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 64 times
        diehard_oqso|   0|   2097152|     100|0.00021670|   WEAK   
# The file file_input_raw was rewound 70 times
         diehard_dna|   0|   2097152|     100|0.08599450|  PASSED  
# The file file_input_raw was rewound 71 times
diehard_count_1s_str|   0|    256000|     100|0.65993732|  PASSED  
# The file file_input_raw was rewound 83 times
diehard_count_1s_byt|   0|    256000|     100|0.92259516|  PASSED  
# The file file_input_raw was rewound 83 times
 diehard_parking_lot|   0|     12000|     100|0.51106633|  PASSED  
# The file file_input_raw was rewound 84 times
    diehard_2dsphere|   2|      8000|     100|0.87779382|  PASSED  
# The file file_input_raw was rewound 84 times
    diehard_3dsphere|   3|      4000|     100|0.55266222|  PASSED  
# The file file_input_raw was rewound 106 times
     diehard_squeeze|   0|    100000|     100|0.00000070|  FAILED  
# The file file_input_raw was rewound 106 times
        diehard_sums|   0|       100|     100|0.00909089|  PASSED  
# The file file_input_raw was rewound 107 times
        diehard_runs|   0|    100000|     100|0.50038008|  PASSED  
        diehard_runs|   0|    100000|     100|0.32618638|  PASSED  
# The file file_input_raw was rewound 119 times
       diehard_craps|   0|    200000|     100|0.00001086|   WEAK   
       diehard_craps|   0|    200000|     100|0.00525991|  PASSED  
# The file file_input_raw was rewound 310 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 311 times
         sts_monobit|   1|    100000|     100|0.15372903|  PASSED  
# The file file_input_raw was rewound 312 times
            sts_runs|   2|    100000|     100|0.14168820|  PASSED  
# The file file_input_raw was rewound 313 times
          sts_serial|   1|    100000|     100|0.04075096|  PASSED  
          sts_serial|   2|    100000|     100|0.01301891|  PASSED  
          sts_serial|   3|    100000|     100|0.33236510|  PASSED  
          sts_serial|   3|    100000|     100|0.98144839|  PASSED  
          sts_serial|   4|    100000|     100|0.46734574|  PASSED  
          sts_serial|   4|    100000|     100|0.14986214|  PASSED  
          sts_serial|   5|    100000|     100|0.38095552|  PASSED  
          sts_serial|   5|    100000|     100|0.19595481|  PASSED  
          sts_serial|   6|    100000|     100|0.92295410|  PASSED  
          sts_serial|   6|    100000|     100|0.72775210|  PASSED  
          sts_serial|   7|    100000|     100|0.69059248|  PASSED  
          sts_serial|   7|    100000|     100|0.98470981|  PASSED  
          sts_serial|   8|    100000|     100|0.66976581|  PASSED  
          sts_serial|   8|    100000|     100|0.80451995|  PASSED  
          sts_serial|   9|    100000|     100|0.96584725|  PASSED  
          sts_serial|   9|    100000|     100|0.22418775|  PASSED  
          sts_serial|  10|    100000|     100|0.86881849|  PASSED  
          sts_serial|  10|    100000|     100|0.69317437|  PASSED  
          sts_serial|  11|    100000|     100|0.75403143|  PASSED  
          sts_serial|  11|    100000|     100|0.78752831|  PASSED  
          sts_serial|  12|    100000|     100|0.36613962|  PASSED  
          sts_serial|  12|    100000|     100|0.43690392|  PASSED  
          sts_serial|  13|    100000|     100|0.58655737|  PASSED  
          sts_serial|  13|    100000|     100|0.41243382|  PASSED  
          sts_serial|  14|    100000|     100|0.90366798|  PASSED  
          sts_serial|  14|    100000|     100|0.62548804|  PASSED  
          sts_serial|  15|    100000|     100|0.93747412|  PASSED  
          sts_serial|  15|    100000|     100|0.53078278|  PASSED  
          sts_serial|  16|    100000|     100|0.64315744|  PASSED  
          sts_serial|  16|    100000|     100|0.65729131|  PASSED  
# The file file_input_raw was rewound 315 times
         rgb_bitdist|   1|    100000|     100|0.64482475|  PASSED  
# The file file_input_raw was rewound 319 times
