#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rctm61.81_c.bin|  4.76e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
# The file file_input_raw was rewound 1 times
   diehard_birthdays|   0|       100|     100|0.99968427|   WEAK   
# The file file_input_raw was rewound 11 times
      diehard_operm5|   0|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 24 times
  diehard_rank_32x32|   0|     40000|     100|0.82360650|  PASSED  
# The file file_input_raw was rewound 30 times
    diehard_rank_6x8|   0|    100000|     100|0.85346252|  PASSED  
# The file file_input_raw was rewound 32 times
   diehard_bitstream|   0|   2097152|     100|0.49886398|  PASSED  
# The file file_input_raw was rewound 53 times
        diehard_opso|   0|   2097152|     100|0.01807038|  PASSED  
# The file file_input_raw was rewound 67 times
        diehard_oqso|   0|   2097152|     100|0.01421007|  PASSED  
# The file file_input_raw was rewound 74 times
         diehard_dna|   0|   2097152|     100|0.36274614|  PASSED  
# The file file_input_raw was rewound 74 times
diehard_count_1s_str|   0|    256000|     100|0.00000114|   WEAK   
# The file file_input_raw was rewound 87 times
diehard_count_1s_byt|   0|    256000|     100|0.29587860|  PASSED  
# The file file_input_raw was rewound 87 times
 diehard_parking_lot|   0|     12000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 88 times
    diehard_2dsphere|   2|      8000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 88 times
    diehard_3dsphere|   3|      4000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 111 times
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 111 times
        diehard_sums|   0|       100|     100|0.00915463|  PASSED  
# The file file_input_raw was rewound 112 times
        diehard_runs|   0|    100000|     100|0.00000000|  FAILED  
        diehard_runs|   0|    100000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 125 times
       diehard_craps|   0|    200000|     100|0.00000000|  FAILED  
       diehard_craps|   0|    200000|     100|0.00000886|   WEAK   
# The file file_input_raw was rewound 325 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 326 times
         sts_monobit|   1|    100000|     100|0.70921472|  PASSED  
# The file file_input_raw was rewound 327 times
            sts_runs|   2|    100000|     100|0.64824275|  PASSED  
# The file file_input_raw was rewound 328 times
          sts_serial|   1|    100000|     100|0.70921472|  PASSED  
          sts_serial|   2|    100000|     100|0.74216803|  PASSED  
          sts_serial|   3|    100000|     100|0.66929274|  PASSED  
          sts_serial|   3|    100000|     100|0.85140255|  PASSED  
          sts_serial|   4|    100000|     100|0.25818551|  PASSED  
          sts_serial|   4|    100000|     100|0.75507595|  PASSED  
          sts_serial|   5|    100000|     100|0.89645978|  PASSED  
          sts_serial|   5|    100000|     100|0.75154180|  PASSED  
          sts_serial|   6|    100000|     100|0.99037411|  PASSED  
          sts_serial|   6|    100000|     100|0.94777292|  PASSED  
          sts_serial|   7|    100000|     100|0.62708322|  PASSED  
          sts_serial|   7|    100000|     100|0.51954387|  PASSED  
          sts_serial|   8|    100000|     100|0.20854759|  PASSED  
          sts_serial|   8|    100000|     100|0.22509563|  PASSED  
          sts_serial|   9|    100000|     100|0.19281252|  PASSED  
          sts_serial|   9|    100000|     100|0.36390048|  PASSED  
          sts_serial|  10|    100000|     100|0.05951216|  PASSED  
          sts_serial|  10|    100000|     100|0.64756042|  PASSED  
          sts_serial|  11|    100000|     100|0.10637568|  PASSED  
          sts_serial|  11|    100000|     100|0.52053790|  PASSED  
          sts_serial|  12|    100000|     100|0.47019225|  PASSED  
          sts_serial|  12|    100000|     100|0.09781366|  PASSED  
          sts_serial|  13|    100000|     100|0.33956883|  PASSED  
          sts_serial|  13|    100000|     100|0.36418687|  PASSED  
          sts_serial|  14|    100000|     100|0.35457158|  PASSED  
          sts_serial|  14|    100000|     100|0.58453156|  PASSED  
          sts_serial|  15|    100000|     100|0.88149853|  PASSED  
          sts_serial|  15|    100000|     100|0.74317641|  PASSED  
          sts_serial|  16|    100000|     100|0.99340162|  PASSED  
          sts_serial|  16|    100000|     100|0.43024649|  PASSED  
# The file file_input_raw was rewound 330 times
         rgb_bitdist|   1|    100000|     100|0.00188119|   WEAK   
# The file file_input_raw was rewound 334 times
