#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                   rctm61.81.bin|  8.75e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.96043225|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.00000000|  FAILED  
  diehard_rank_32x32|   0|     40000|     100|0.95697586|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.00798950|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.77196890|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00044747|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.00063757|   WEAK   
         diehard_dna|   0|   2097152|     100|0.53395077|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.00003358|   WEAK   
diehard_count_1s_byt|   0|    256000|     100|0.03012074|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.00000000|  FAILED  
    diehard_2dsphere|   2|      8000|     100|0.00000000|  FAILED  
    diehard_3dsphere|   3|      4000|     100|0.00000000|  FAILED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.00915463|  PASSED  
        diehard_runs|   0|    100000|     100|0.00000000|  FAILED  
        diehard_runs|   0|    100000|     100|0.00000000|  FAILED  
       diehard_craps|   0|    200000|     100|0.00000000|  FAILED  
       diehard_craps|   0|    200000|     100|0.00000886|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.92946444|  PASSED  
            sts_runs|   2|    100000|     100|0.68939381|  PASSED  
          sts_serial|   1|    100000|     100|0.92946444|  PASSED  
          sts_serial|   2|    100000|     100|0.54601839|  PASSED  
          sts_serial|   3|    100000|     100|0.91618274|  PASSED  
          sts_serial|   3|    100000|     100|0.66715581|  PASSED  
          sts_serial|   4|    100000|     100|0.44253775|  PASSED  
          sts_serial|   4|    100000|     100|0.66781249|  PASSED  
          sts_serial|   5|    100000|     100|0.99994625|   WEAK   
          sts_serial|   5|    100000|     100|0.09264497|  PASSED  
          sts_serial|   6|    100000|     100|0.36038733|  PASSED  
          sts_serial|   6|    100000|     100|0.89019474|  PASSED  
          sts_serial|   7|    100000|     100|0.70236676|  PASSED  
          sts_serial|   7|    100000|     100|0.96503140|  PASSED  
          sts_serial|   8|    100000|     100|0.29589144|  PASSED  
          sts_serial|   8|    100000|     100|0.24678226|  PASSED  
          sts_serial|   9|    100000|     100|0.37196660|  PASSED  
          sts_serial|   9|    100000|     100|0.15336196|  PASSED  
          sts_serial|  10|    100000|     100|0.14033883|  PASSED  
          sts_serial|  10|    100000|     100|0.39819770|  PASSED  
