#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                   rctm61.81.bin|  3.65e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.79429136|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.87902790|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.21625089|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.28254379|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.24574371|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99995508|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.38794104|  PASSED  
         diehard_dna|   0|   2097152|     100|0.42915363|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.98730117|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.90915113|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.94949259|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.82232394|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.07360693|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.37458111|  PASSED  
        diehard_sums|   0|       100|     100|0.57579638|  PASSED  
        diehard_runs|   0|    100000|     100|0.70474885|  PASSED  
        diehard_runs|   0|    100000|     100|0.36878315|  PASSED  
       diehard_craps|   0|    200000|     100|0.42225778|  PASSED  
       diehard_craps|   0|    200000|     100|0.40719257|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.45849221|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.34819387|  PASSED  
         sts_monobit|   1|    100000|     100|0.03529816|  PASSED  
            sts_runs|   2|    100000|     100|0.57329342|  PASSED  
          sts_serial|   1|    100000|     100|0.24489482|  PASSED  
          sts_serial|   2|    100000|     100|0.81139047|  PASSED  
          sts_serial|   3|    100000|     100|0.85900862|  PASSED  
          sts_serial|   3|    100000|     100|0.99288140|  PASSED  
          sts_serial|   4|    100000|     100|0.17619226|  PASSED  
          sts_serial|   4|    100000|     100|0.84220991|  PASSED  
          sts_serial|   5|    100000|     100|0.20257104|  PASSED  
          sts_serial|   5|    100000|     100|0.81633833|  PASSED  
          sts_serial|   6|    100000|     100|0.34436640|  PASSED  
          sts_serial|   6|    100000|     100|0.98978430|  PASSED  
          sts_serial|   7|    100000|     100|0.34531089|  PASSED  
          sts_serial|   7|    100000|     100|0.70513552|  PASSED  
          sts_serial|   8|    100000|     100|0.45863809|  PASSED  
          sts_serial|   8|    100000|     100|0.69052359|  PASSED  
          sts_serial|   9|    100000|     100|0.49610397|  PASSED  
          sts_serial|   9|    100000|     100|0.54368698|  PASSED  
          sts_serial|  10|    100000|     100|0.96717284|  PASSED  
          sts_serial|  10|    100000|     100|0.85389344|  PASSED  
          sts_serial|  11|    100000|     100|0.08179891|  PASSED  
          sts_serial|  11|    100000|     100|0.40352028|  PASSED  
          sts_serial|  12|    100000|     100|0.67807146|  PASSED  
          sts_serial|  12|    100000|     100|0.27433875|  PASSED  
          sts_serial|  13|    100000|     100|0.42130740|  PASSED  
          sts_serial|  13|    100000|     100|0.64402322|  PASSED  
          sts_serial|  14|    100000|     100|0.98652604|  PASSED  
          sts_serial|  14|    100000|     100|0.72455519|  PASSED  
          sts_serial|  15|    100000|     100|0.55936766|  PASSED  
